,term,weight
333,336,0.000350360815233257
334,337,9.21220584998336e-05
335,338,8.325993672258841e-05
336,339,8.827883122633219e-05
337,34,0.0003610258023375416
338,344,0.00017467509045949678
339,3465,9.327444297117258e-05
340,348,0.00017833040809334577
341,35,0.000657685724687071
342,350,0.00018293924090812127
343,351,8.325993672258841e-05
344,3523,7.394687808626528e-05
345,354,0.00021078068824282263
346,355,0.0001909751135539105
347,3551,0.00010165552517842611
348,36,0.00035878342286349075
349,360,0.00034134224639321476
350,361,7.452486937395475e-05
351,362,0.00019462879456724966
352,363,8.168291754012559e-05
353,365,0.00016487928335847464
354,368,7.95591316347868e-05
355,37,0.00011763683100821744
356,372,8.406954177051552e-05
357,3723,7.344238581398436e-05
358,373,9.574415951669374e-05
359,374,8.406954177051552e-05
360,3743720,0.00010251994404854577
361,3754,7.325804844303221e-05
362,376,0.00011988161496479095
363,38,0.0001961431419523848
364,380,0.00010771254083047286
365,382,7.258302491926997e-05
366,383,9.757760977657695e-05
367,384,0.00014346949816233464
368,385,0.0001914534433132831
369,388,6.477695124664916e-05
370,39,0.00020163890415826578
371,390,0.00013495753731712412
372,393,9.491008016574821e-05
373,396,0.0001511375527509451
374,398,0.00014351757457781812
375,399,7.51941894947576e-05
376,3b,0.00013493255489095338
377,3c,6.697416110142536e-05
378,3d,0.004376273270450627
379,3daugment,0.00010405886397211504
380,3dtouch,0.0001431502378440562
381,3g,0.00042059434409528427
382,3gpp,7.289580111631787e-05
383,3gtelecommun,0.00011638744187822121
384,3in,6.890073353173951e-05
385,3layer,0.00010263276003460962
386,3s,8.684583325867025e-05
387,3tier,0.00010263276003460962
388,40,0.0037534109040562235
389,400,0.0002095070257930213
390,401,0.0001842441169996672
391,4024,0.0001102095622724051
392,4027,0.00012280277871059019
393,404,6.359762488186033e-05
394,408,7.7070337122659e-05
395,40second,5.417024675451722e-05
396,41,0.00012570519464083493
397,410,0.00010771254083047286
398,413,9.676021314242834e-05
399,414,8.970346380892759e-05
400,415,7.68839621814197e-05
401,416,8.865377936400762e-05
402,418,0.00012817382234620213
403,42,0.00025588851430798857
404,421,0.00010161950316950855
405,422,8.403783518735251e-05
406,4226,8.970346380892759e-05
407,4231,0.00010961268260488008
408,425,5.605028819803473e-05
409,428,0.0002730376084206221
410,43,0.00018531137785652858
411,431,6.408691117310106e-05
412,432,0.0001567120445360499
413,437,0.00010161950316950855
414,44,0.0001438523767287989
415,440,0.00010771254083047286
416,441,0.00010161950316950855
417,446,5.891138972802834e-05
418,44800,8.620195528116945e-05
419,449,6.133763162228488e-05
420,45,0.0006026046954348296
421,450,0.0003594260388540629
422,452,0.00011441121879154651
423,454,0.000250781120229098
424,457,9.045865261619854e-05
425,46,0.00029287876848768744
